id	English	Japanese
GAME_NAME	Superbrothers: Sword & Sworcery EP	
GAME_MOTTO	A BRAVE EXPERIMENT IN I/O CINEMA	
GAME_NAME_SHORT	S:S&SEP	
WITH_SONGS	WITH SONGS & SOUNDS BY	
JIM_GUTHRIE	JIM GUTHRIE	
FOR_DEMO	FOR DEMONSTRATION PURPOSES ONLY	
END_DEMO	Thus ends the demo of	
SIDE_A	SIDE A	
SIDE_B	SIDE B	
ROTATE	R O T A T E ?	
INVENTORY_ROTATE	ROTATE?	
LOOK	LOOK	
LISTEN	LISTEN	
TOUCH	TOUCH	
DREAM	DREAM	
TOUCH_ARROW_LEFT	< <TOUCH	
TOUCH_ARROW_RIGHT	TOUCH> >	
GUIDE_ARROW_LEFT	< <GUIDE	
GUIDE_ARROW_RIGHT	GUIDE> >	
OBSERVE	OBSERVE	
INVESTIGATE	INVESTIGATE	
SHAKE	SHAKE?	
REFLECT	REFLECT	
BELIEVE	BELIEVE	
BEWARE	BEWARE	
FOLLOW	FOLLOW?	
ROTATE_UNSHEATHE	ROTATE TO UNSHEATHE	
GO_HOME	GO HOME?	
START_ARROW_RIGHT	START > > >	
TRESPASS	TRESPASS	
AVOID	AVOID	
CONSIDER	CONSIDER	
PERSEVERE	PERSEVERE	
START_OVER	START OVER?	
PROMPT_YES	YES	
PROMPT_NO	NO	
PROMPT_CANCEL	CANCEL	
PROMPT_SUBMIT	SUBMIT	
TWITTER_BROADCAST	YOU MAY WISH TO BROADCAST VIA TWITTER	
TWITTER_SETTINGS	SETTINGS	
TWITTER_TWEET	TWEET THIS?	
TWITTER_SIGN_IN	SIGN IN TO TWITTER	
TWITTER_USERNAME	USERNAME OR EMAIL	
TWITTER_PASSWORD	PASSWORD	
TWITTER_NEVERMIND	NEVERMIND	
TWITTER_TWEETING	TWEETING...	
TWITTER_SIGNING_IN	SIGNING IN...	
TWITTER_SUCCESS	SUCCESS!	
TWITTER_FAILED	FAILED	
TWITTER_WRONG_LOGIN	WRONG USERNAME OR PASSWORD	
TWITTER_CONNECT_FAIL	CONNECTION FAILED	
TWITTER_SIGN_IN_ONLY	SIGN IN	
TWITTER_SIGN_OUT_ONLY	SIGN OUT	
TWITTER_SIGNED_IN	YOU ARE CURRENTLY SIGNED IN TO TWITTER	
TWITTER_SIGNED_OUT	YOU ARE NOT SIGNED IN TO TWITTER	
TWITTER_FILL_OUT	PLEASE FILL OUT ALL FIELDS	
TWITTER_SELECT_BUTTON	SELECT	
TWITTER_SELECT_MSG	PLEASE SELECT A TWITTER ACCOUNT	
TWITTER_NO_ACCOUNTS	There are no Twitter accounts configured on this device.	
TWITTER_REQUESTING	REQUESTING ACCESS...	
EPITAPH	THERE ARE NO SECRETS LEFT IN THESE MAEOTIAN MARSHES	
FIGHT	FIGHT?	
DARKMOON_COUNT_9	DARK MOON IN 9 DAYS	
DARKMOON	DARK MOON	
BRIGHTMOON	BRIGHT MOON	
DARKMOON_BEFORE_NUM	DARK MOON IN	
DARKMOON_AFTER_1	DAY	
DARKMOON_AFTER_MORE	DAYS	
BRIGHTMOON_BEFORE_NUM	BRIGHT MOON IN	
BRIGHTMOON_AFTER_1	DAY	
BRIGHTMOON_AFTER_MORE	DAYS	
TIME_PARADOX	* TIME PARADOX *	
ERRAND_END	YOUR WOEFUL ERRAND IS AT AN END.	
BEWARE_BOOR	BEWARE THE GRIZZLED BOOR	
MOVE_CONTROLS	TOUCH & HOLD TO MOVE	
STOP_CONTROLS	TIP TAP TO STOP?	
STOP_CONTROLS_ARROW	< < TIP TAP TO STOP?	
SLAY	SLAY?	
ZOOM_CONTROLS	< < <  PINCH TO ZOOM? > > >	
LOOK_CONTROLS	< < TOUCH, HOLD & MOVE TO LOOK	
LOOK_CONTROLS_2	SWIPE TO LOOK AROUND	
TONGUE_TEXT	Tilt, unsheathe & hold your scythian sword up high in the rainbow for a few seconds and have faith	
TOUCH_HOLD	TOUCH & HOLD	
TOUCH_HOLD_ARROW_LEFT	< < TOUCH & HOLD	
TOUCH_HOLD_ARROW_RIGHT	TOUCH & HOLD > >	
TIP_TAP_QUESTION	TIP TAP?	
TIP_TAP_ARROW_LEFT	< < TIP TAP	
TIP_TAP_ARROW_LEFT_Q	< < TIP TAP?	
TIP_TAP_ARROW_RIGHT	TIP TAP > >	
RUB	RUB	
QUIT	QUIT?	
TAP_ARROW_LEFT	< < TAP	
TAP_QUESTION	TAP?	
MOON_TIME_1	moments ago	
MOON_TIME_2	a little while ago	
MOON_TIME_3	a while ago	
MOON_TIME_4	in days of yore	
MOON_TIME_5	many moons ago	
MOON_TIME_6	a long time ago	
COSMIC_FRIENDS	NOW WE ARE COSMIC FRIENDS FOREVER... OK?	
The Scythian	The Scythian	
Girl	Samae	
Logfella	Logfella	
Dogfella	Dogfella	
The Archetype	The Archetype	
EXIT	EXIT	
RESOLUTION	Resolution	
RESET	RESET	
HASHTAG_SWORCERY	#sworcery	
DIGIT_STRING	"0123456789"	
EXIT_TITLE	Exit #sworcery?	
EXIT_PROMPT	Are you sure you want to exit?	
